arm,turns_total,turns_real,turns_keepalive,input,cache_write,cache_write_5m,cache_write_1h,cache_read,output,CHR,CWT,base_uncached,ECM
ttl-long,5,5,0,15292,46309,0,46309,58914,1048,0.5599,119041.4,125755.0,0.9466
wlA-off,45,45,0,39042,81247,0,81247,1412539,21915,0.9456,452364.9,1642403.0,0.2754
wlA-on,36,35,1,39585,106143,0,106143,1002420,38343,0.9043,543828.0,1339863.0,0.4059
wlB-off,30,30,0,38652,114045,0,114045,931248,45978,0.8909,589756.8,1313835.0,0.4489
wlB-on,34,33,1,38789,118392,0,118392,1137317,46233,0.9057,620469.7,1525663.0,0.4067
